,0
117,https://www.coursera.org/learn/vvedeniye-v-nauku-o-dannykh
118,https://www.coursera.org/learn/calculus-through-data-and-modelling-vector-calculus
119,https://www.coursera.org/learn/developing-ai-applications-azure
120,https://www.coursera.org/learn/machine-learning-applied
121,https://www.coursera.org/learn/data-analytics-business
122,https://www.coursera.org/learn/introductiontoprobability
123,https://www.coursera.org/learn/lineynaya-regressiya
124,https://www.coursera.org/learn/smart-analytics-machine-learning-ai-gcp-jp
125,https://www.coursera.org/learn/excel-essentials-fr
126,https://www.coursera.org/learn/praktiki-sozdaniya-analiticheskikh-paneley-power-bi
127,https://www.coursera.org/learn/neurohacking
128,https://www.coursera.org/learn/social-media-data-analytics
129,https://www.coursera.org/learn/data-analysis-python
130,https://www.coursera.org/learn/time-series-survival-analysis
131,https://www.coursera.org/learn/data-machine-learning
132,https://www.coursera.org/learn/data-manipulation
133,https://www.coursera.org/learn/statistical-genomics
134,https://www.coursera.org/learn/mbse
135,https://www.coursera.org/learn/znakomstvo-r-bazovaya-statistika
136,https://www.coursera.org/learn/bayesian
137,https://www.coursera.org/learn/deep-neural-network-ru
138,https://www.coursera.org/learn/linear-models-2
139,https://www.coursera.org/learn/accounting-analytics
140,https://www.coursera.org/learn/uva-darden-market-analytics-es
141,https://www.coursera.org/learn/mathematics-sport
142,https://www.coursera.org/learn/wharton-business-financial-modeling-capstone
143,https://www.coursera.org/learn/probabilidad
144,https://www.coursera.org/learn/big-data-graph-analytics
145,https://www.coursera.org/learn/aws-machine-learning
146,https://www.coursera.org/learn/data-analysis-applications
147,https://www.coursera.org/learn/analyze-data
148,https://www.coursera.org/learn/machine-learning-classification-algorithms
149,https://www.coursera.org/learn/machine-learning-foundations
150,https://www.coursera.org/learn/health-informatics-professional
151,https://www.coursera.org/learn/advanced-machine-learning-methods
152,https://www.coursera.org/learn/data-warehouse-bi-building
153,https://www.coursera.org/learn/mcmc-bayesian-statistics
154,https://www.coursera.org/learn/probabilistic-deep-learning-with-tensorflow2
155,https://www.coursera.org/learn/introduction-portfolio-construction-python
156,https://www.coursera.org/learn/python-visualization
157,https://www.coursera.org/learn/sql-data-science-ru
158,https://www.coursera.org/learn/fundamentals-of-reinforcement-learning
159,https://www.coursera.org/learn/uva-darden-market-analytics-fr
160,https://www.coursera.org/learn/business-analytics-executive-overview
161,https://www.coursera.org/learn/ibm-ai-workflow-ai-production
162,https://www.coursera.org/learn/practical-crowdsourcing
163,https://www.coursera.org/learn/understanding-visualization-data
164,https://www.coursera.org/learn/ml-classification
165,https://www.coursera.org/learn/genomic-data-science-project
166,https://www.coursera.org/learn/database-management
167,https://www.coursera.org/learn/practical-time-series-analysis
168,https://www.coursera.org/learn/ask-questions-make-decisions
169,https://www.coursera.org/learn/machinetranslation
170,https://www.coursera.org/learn/bigdataanalysis
171,https://www.coursera.org/learn/machine-learning-sas
